subscriber_id,account_number,msisdn,id_number,plan,contract_type,network_type,service_status,acquisition_channel,payment_method,region,device_type,node_id,tenure_months,activation_date,created_date,closed_date,last_recharge_days_ago,sla_hours,monthly_charges,data_volume_mb,data_overage_mb,call_minutes,sms_count,intl_call_minutes,roaming_flag,avg_recharge_amount,latency_ms,signal_strength_dbm,complaint_count,support_calls,nps_score,csat_score,app_logins_monthly,refund_amount,payment_failures,days_overdue,bill_shock_flag,paperless_billing,plan_upgrades,reactivation_count,churn
SUB00000,ACC402142,27605539214,9335747415182,Business Pro,One Year,3G,Active,Agent,EFT,Gauteng,Router,BTS_EL_005,2,2024-04-20,2024-09-24T12:00:00,2024-09-27T17:54:00,25,48,1122.84,4091.8,230.8,288.8,30,0.0,0,39.09,284.6,-64.3,1,1,0,,8,445.13,0,0,1,0,1,0,0
SUB00001,ACC106151,27603113883,8953484006186,Postpaid 199,Month-to-Month,2G,Active,Direct Sales,Mobile Money,Western Cape,IoT Device,BTS_CPT_007,36,2025-06-02,2024-04-26T14:00:00,2024-04-28T20:00:00,14,4,831.86,164.1,278.7,250.9,29,111.42,1,125.7,247.8,-86.9,2,2,0,4.5,14,345.23,1,31,1,1,0,0,0
SUB00002,ACC501326,27607428338,8871048939093,IoT SIM,One Year,5G,Active,Direct Sales,Voucher,KwaZulu-Natal,Feature Phone,BTS_EL_005,58,2024-05-14,2024-06-30T07:00:00,2024-06-30T17:30:00,70,24,632.74,2872.3,4.2,348.3,28,0.0,0,0.0,227.5,-106.0,3,1,0,1.6,7,35.21,0,0,0,1,0,0,0
SUB00003,ACC991770,27609045418,9854318818195,Business Pro,Month-to-Month,4G LTE,Active,Online Portal,Credit Card,Free State,Tablet,BTS_NM_009,41,2024-12-06,2024-07-16T12:00:00,2024-07-18T09:30:00,13,4,1043.53,213.6,169.2,225.3,20,0.0,0,50.33,120.8,-80.3,0,0,10,3.7,15,0.0,0,0,1,0,0,0,0
SUB00004,ACC538001,27603734841,9313026796094,Prepaid Smart,Two Year,3G,Active,Direct Sales,Credit Card,Eastern Cape,IoT Device,BTS_EL_005,74,2025-03-26,2024-06-09T02:00:00,2024-06-11T11:00:00,3,24,602.41,1728.9,225.5,42.9,27,0.0,0,0.0,437.3,-68.5,0,0,0,3.0,11,0.0,1,22,0,1,0,0,0
SUB00005,ACC731315,27609688623,9875304252190,Postpaid 199,Month-to-Month,4G LTE,Active,Online Portal,EFT,Free State,Router,BTS_JHB_001,83,2024-07-27,2024-08-17T21:00:00,2024-08-20T20:06:00,29,48,912.91,3380.0,39.5,547.4,26,0.0,0,0.0,187.6,-69.3,1,1,9,3.7,11,116.01,0,0,1,0,1,0,0
SUB00006,ACC810049,27605012701,9714319261188,Postpaid 499,One Year,2G,Active,Agent,Mobile Money,Western Cape,IoT Device,BTS_DBN_003,69,2025-03-19,2024-10-31T18:00:00,2024-11-04T10:24:00,21,48,544.07,396.3,372.5,207.8,37,44.06,1,0.0,67.1,-75.4,1,1,5,4.6,8,128.28,0,0,0,1,0,0,0
SUB00007,ACC241081,27605448366,9548416866090,IoT SIM,Two Year,2G,Active,Referral,Debit Order,North West,Smartphone,BTS_EL_005,70,2025-10-29,2024-08-15T02:00:00,2024-08-16T19:48:00,16,8,185.74,1168.6,230.7,422.0,24,107.69,1,0.0,190.9,-95.2,3,2,9,2.0,8,203.84,0,0,0,0,0,0,0
SUB00008,ACC886774,27601183811,8164896141192,Prepaid Smart,One Year,3G,Active,Online Portal,EFT,KwaZulu-Natal,Smartphone,BTS_PTA_012,53,2024-08-27,2024-11-24T19:00:00,2024-11-26T14:30:00,63,4,568.34,2695.8,196.6,863.5,33,50.0,1,0.0,322.8,-85.1,2,0,7,2.5,8,303.4,0,0,0,1,0,1,0
SUB00009,ACC874125,27603185221,8006484513090,Business Pro,One Year,5G,Porting Out,Agent,Voucher,Eastern Cape,Feature Phone,BTS_CPT_007,2,2025-01-19,2024-08-25T14:00:00,2024-08-25T17:24:00,86,4,906.82,612.7,166.3,117.3,25,0.0,0,0.0,439.7,-81.3,2,0,5,2.7,13,278.47,1,42,1,0,0,1,0
SUB00010,ACC142378,27603922731,8341683486091,Postpaid 199,One Year,4G LTE,Active,Direct Sales,Credit Card,Free State,Wearable,BTS_EL_005,24,2024-01-25,2024-11-25T13:00:00,2024-11-26T08:36:00,40,24,934.3,3464.6,254.7,503.1,43,0.0,0,0.0,349.8,-109.1,1,3,7,2.0,12,468.76,0,0,1,0,0,0,0
SUB00011,ACC443513,27603368911,8665868576081,Postpaid 199,Month-to-Month,NB-IoT,Active,Direct Sales,Credit Card,Limpopo,Tablet,BTS_PTA_012,36,2024-11-30,2024-04-22T05:00:00,2024-04-23T21:12:00,19,24,623.97,109.3,45.0,228.6,34,0.0,0,0.0,279.7,-102.9,0,0,9,4.8,14,0.0,1,3,0,1,0,0,0
SUB00012,ACC404531,27601857698,8698573081192,IoT SIM,One Year,3G,Active,Retail Store,Credit Card,North West,IoT Device,BTS_JHB_001,56,2024-05-11,2024-10-31T17:00:00,2024-11-02T12:30:00,81,8,531.72,974.8,488.7,,37,0.0,0,47.3,133.1,-107.2,1,1,3,4.8,12,163.82,1,23,0,0,1,1,0
SUB00013,ACC751308,27601541977,9224814243193,Postpaid 199,One Year,NB-IoT,Active,Agent,Voucher,Gauteng,Router,BTS_EL_005,66,2024-06-24,2024-03-31T21:00:00,2024-04-04T11:06:00,71,4,429.46,1282.8,502.1,316.2,36,0.0,0,142.6,383.5,-74.9,1,1,5,3.6,14,212.53,0,0,0,0,0,0,0
SUB00014,ACC963234,27603394432,8983457818181,Postpaid 499,Month-to-Month,2G,Active,Online Portal,EFT,Northern Cape,Router,BTS_DBN_003,49,2024-05-12,2024-01-27T14:00:00,2024-01-28T17:54:00,8,4,218.87,3982.0,256.3,686.0,35,0.0,0,77.43,116.1,-56.8,2,0,8,4.9,13,10.48,0,0,0,0,0,0,0
SUB00015,ACC646642,27608261665,8109841310195,Postpaid 499,One Year,4G LTE,Active,Retail Store,EFT,,Router,BTS_JHB_001,60,2024-12-16,2024-05-18T11:00:00,2024-05-21T19:54:00,79,8,766.36,337.3,273.5,274.0,28,0.0,0,47.06,,-82.1,1,1,9,2.9,13,321.96,0,0,0,1,0,0,0
SUB00016,ACC715624,27601363064,8374274047188,IoT SIM,Two Year,4G LTE,Active,Direct Sales,Mobile Money,Eastern Cape,Wearable,BTS_JHB_001,3,2024-02-29,2024-07-15T17:00:00,2024-07-18T02:06:00,5,48,637.46,1948.9,127.9,14.9,29,0.0,0,0.0,216.2,-87.1,0,4,2,3.1,14,0.0,0,0,0,1,1,0,0
SUB00017,ACC713894,27602607462,9467781542194,IoT SIM,Two Year,2G,Active,Online Portal,EFT,Limpopo,Smartphone,BTS_NM_009,65,2024-05-09,2024-11-26T17:00:00,2024-11-27T15:24:00,74,8,293.64,1297.6,240.7,22.7,31,0.0,0,75.63,29.7,-69.9,0,1,5,2.2,10,0.0,0,0,0,1,1,1,0
SUB00018,ACC973448,27602314073,9762484420085,Prepaid Smart,Two Year,5G,Porting Out,Direct Sales,Credit Card,Gauteng,Smartphone,BTS_EL_005,13,2025-02-10,2024-12-23T21:00:00,2024-12-27T09:48:00,3,4,1123.29,206.2,34.3,29.8,28,0.0,0,93.12,377.4,-107.7,0,2,9,4.2,9,0.0,0,0,1,1,2,1,1
SUB00019,ACC997617,27604024414,9149783414191,Postpaid 199,Two Year,5G,Active,Retail Store,Mobile Money,Western Cape,Feature Phone,BTS_PTA_012,41,2025-09-02,2024-07-19T19:00:00,2024-07-23T01:48:00,79,8,1284.94,843.9,980.7,122.4,23,0.0,0,83.94,,-52.9,3,1,10,,12,310.22,2,41,1,1,1,0,0
SUB00020,ACC279295,27609634570,9571617278184,Postpaid 499,Two Year,2G,Active,Agent,Voucher,Northern Cape,Smartphone,BTS_PTA_012,73,2024-05-13,2024-08-29T23:00:00,2024-08-30T17:54:00,8,4,726.64,2198.7,163.8,60.8,31,0.0,0,138.88,261.6,-55.0,1,4,4,2.9,10,63.35,0,0,0,0,0,0,1
SUB00021,ACC335134,27601834322,9739728919081,Prepaid Basic,null,NB-IoT,Active,Direct Sales,Credit Card,KwaZulu-Natal,Wearable,BTS_EL_005,21,2024-07-28,2024-12-02T15:00:00,2024-12-03T16:00:00,12,4,173.2,1358.9,767.5,165.9,38,0.0,0,0.0,397.8,-100.2,0,0,7,1.8,19,0.0,1,35,0,1,0,0,0
SUB00022,ACC310722,27606930700,8702512259086,Prepaid Basic,Two Year,2G,Terminated,Online Portal,Mobile Money,Gauteng,IoT Device,BTS_JHB_001,60,2025-12-25,2024-09-06T01:00:00,2024-09-08T10:30:00,29,4,288.04,652.6,357.3,425.9,29,57.64,1,25.67,35.0,-52.6,1,0,1,1.9,16,,0,0,0,0,1,0,0
SUB00023,ACC289958,27605053713,8928984166187,Prepaid Basic,Two Year,NB-IoT,Active,Referral,Credit Card,Eastern Cape,Wearable,BTS_EL_005,40,2025-09-12,2024-03-26T02:00:00,2024-03-29T08:12:00,65,8,668.52,1256.8,866.3,13.8,23,0.0,0,0.0,350.7,-63.7,4,1,8,4.2,11,318.02,1,55,0,0,2,0,0
SUB00024,ACC995265,27607818083,8046735395087,Postpaid 999,Two Year,3G,Active,Agent,Mobile Money,Eastern Cape,Router,BTS_PTA_012,80,2025-08-10,2024-08-01T23:00:00,2024-08-04T18:42:00,55,4,1227.8,3203.0,65.0,34.8,30,0.0,0,0.0,284.5,-107.8,0,1,1,4.3,9,0.0,0,0,1,0,2,0,0
SUB00025,ACC874540,27606142294,9201792675094,Business Pro,Two Year,5G,Active,Retail Store,Voucher,North West,Wearable,BTS_NM_009,48,2024-10-25,2024-04-07T09:00:00,2024-04-09T08:06:00,83,24,1115.42,5128.3,218.0,21.0,36,0.0,0,0.0,298.1,-74.9,0,2,4,4.8,14,0.0,0,0,1,1,1,0,0
SUB00026,ACC805656,27601669265,9326167957082,Prepaid Basic,Two Year,5G,Active,Online Portal,Debit Order,Western Cape,Feature Phone,BTS_PTA_012,28,2024-09-21,2024-06-18T19:00:00,2024-06-21T07:54:00,52,24,349.52,4054.1,135.5,142.9,34,0.0,0,0.0,297.3,-89.4,1,0,6,1.8,12,282.26,1,43,0,1,2,0,0
SUB00027,ACC200896,27601433109,9529321386082,Postpaid 199,Month-to-Month,2G,Active,Agent,Mobile Money,North West,IoT Device,BTS_EL_005,63,2025-12-23,2024-03-15T01:00:00,2024-03-17T09:54:00,11,48,1186.05,44.8,570.2,481.9,47,0.0,0,0.0,215.8,-73.2,3,1,1,4.4,10,336.66,0,0,1,0,0,0,0
SUB00028,ACC964335,27604914925,9667129196092,Business Pro,Month-to-Month,3G,Active,Agent,Credit Card,Western Cape,Feature Phone,BTS_EL_005,63,2024-12-16,2024-02-07T16:00:00,2024-02-09T20:48:00,27,24,310.94,4098.2,37.3,,27,0.0,0,0.0,328.3,-83.6,2,1,6,1.7,12,142.1,0,0,0,0,1,1,0
SUB00029,ACC696893,27602662574,9211653238089,Postpaid 199,Month-to-Month,4G LTE,Active,Referral,EFT,North West,Tablet,BTS_DBN_003,18,2025-06-06,2024-10-03T19:00:00,2024-10-06T12:12:00,63,48,377.7,2398.9,395.9,128.1,29,0.0,0,0.0,28.8,-75.0,1,1,7,3.8,11,92.35,1,37,0,0,1,0,0
SUB00030,ACC832095,27605579897,8588861307081,Postpaid 199,Month-to-Month,5G,Active,Referral,EFT,North West,Feature Phone,BTS_NM_009,74,2024-10-26,2024-08-10T02:00:00,2024-08-13T16:24:00,5,48,1009.11,6587.2,263.6,29.4,25,0.0,0,0.0,87.8,-91.9,0,3,3,2.7,6,0.0,0,0,1,1,1,0,0
SUB00031,ACC452437,27605071723,9414377309191,Prepaid Basic,Two Year,NB-IoT,Active,Direct Sales,Credit Card,Eastern Cape,Feature Phone,BTS_PTA_012,33,2025-05-11,2024-06-06T10:00:00,2024-06-08T00:18:00,24,48,771.64,7394.3,86.8,276.9,27,0.0,0,34.1,95.4,-104.6,1,1,6,1.5,12,387.83,1,59,0,0,0,0,0
SUB00032,ACC253751,27605596821,8988558482191,IoT SIM,Two Year,5G,Active,Referral,EFT,,Wearable,BTS_EL_005,22,2024-09-24,2024-02-20T14:00:00,2024-02-23T23:06:00,63,4,767.16,1928.8,48.8,39.6,33,0.0,0,0.0,302.1,-80.3,1,0,6,2.3,12,189.62,2,34,0,0,0,1,0
SUB00033,ACC784696,27601483246,8430297982089,Prepaid Smart,Two Year,5G,Active,Retail Store,Voucher,KwaZulu-Natal,IoT Device,BTS_JHB_001,42,2024-06-15,2024-03-27T11:00:00,2024-03-27T15:54:00,9,4,740.32,466.0,136.7,76.0,24,0.0,0,0.0,222.0,-107.1,2,1,8,1.9,16,123.4,0,0,0,1,0,0,0
SUB00034,ACC671064,27604992994,8076593680194,IoT SIM,Two Year,3G,Terminated,Online Portal,EFT,North West,Smartphone,BTS_NM_009,20,2025-06-27,2024-04-14T11:00:00,2024-04-16T11:48:00,87,8,578.97,2101.1,53.9,690.3,32,0.0,0,145.24,96.7,-54.6,3,0,0,1.6,9,171.98,0,0,0,1,1,0,0
SUB00035,ACC528912,27604285712,9215767869191,Business Pro,Month-to-Month,NB-IoT,Active,Retail Store,Credit Card,Eastern Cape,,BTS_JHB_001,23,2025-05-12,2024-03-20T05:00:00,2024-03-22T21:54:00,63,4,456.15,1402.5,12.2,324.3,32,30.01,1,0.0,144.8,-95.5,1,2,4,3.0,12,63.3,1,41,0,1,1,0,0
SUB00036,ACC107827,27608129646,8566806822188,Postpaid 499,One Year,5G,Active,Agent,Credit Card,Northern Cape,Wearable,BTS_PTA_012,27,2024-01-22,2024-06-16T00:00:00,2024-06-16T02:54:00,26,48,302.26,3621.9,726.9,210.2,29,5.44,1,0.0,224.4,-87.2,1,2,9,3.7,11,87.33,0,0,0,0,0,0,0
SUB00037,ACC791966,27607212934,8632245868096,Prepaid Basic,One Year,2G,Active,Agent,Credit Card,Limpopo,Tablet,BTS_NM_009,51,2025-05-05,2024-03-23T14:00:00,2024-03-25T01:54:00,39,48,1231.2,936.2,457.5,77.7,35,0.0,0,0.0,198.8,-108.2,1,1,3,3.6,12,25.31,1,49,1,0,0,0,1
SUB00038,ACC478429,27604041799,8624983112094,Postpaid 499,One Year,4G LTE,None,Online Portal,EFT,KwaZulu-Natal,Router,BTS_DBN_003,60,2025-12-15,2024-11-29T09:00:00,2024-11-30T03:18:00,73,8,122.37,,125.8,4.7,30,0.0,0,60.36,445.3,-108.9,1,2,3,4.1,12,11.75,0,0,0,1,0,0,0
SUB00039,ACC900166,27608311244,8546602943092,Business Pro,Two Year,3G,Active,Agent,Credit Card,North West,Feature Phone,BTS_CPT_007,6,2024-03-09,2024-11-08T12:00:00,2024-11-09T18:54:00,8,4,121.22,2078.5,76.2,370.1,26,0.0,0,0.0,64.9,-59.5,0,0,9,1.8,12,0.0,0,0,0,0,1,0,0
SUB00040,ACC197818,27608557133,9646729103195,Prepaid Basic,Two Year,4G LTE,Active,Direct Sales,Credit Card,Free State,Router,BTS_JHB_001,13,2025-05-11,2024-06-19T22:00:00,2024-06-23T19:18:00,47,8,816.0,1356.0,38.7,298.1,34,0.0,0,99.88,31.4,-103.4,2,1,2,2.8,17,125.15,1,36,1,1,0,0,0
SUB00041,ACC526059,27607728400,9277729318089,IoT SIM,Month-to-Month,4G LTE,Active,,Credit Card,KwaZulu-Natal,Router,BTS_CPT_007,54,2024-04-27,2024-01-11T01:00:00,2024-01-11T13:18:00,34,8,769.1,182.3,131.1,46.5,37,0.0,0,0.0,309.6,-84.1,0,2,1,3.0,14,0.0,0,0,0,0,1,0,0
SUB00042,ACC334146,27605277173,9134859500185,Business Pro,Two Year,NB-IoT,Terminated,Agent,Debit Order,Gauteng,IoT Device,BTS_JHB_001,2,2024-07-13,2024-09-17T18:00:00,2024-09-19T13:36:00,29,8,1094.25,753.5,192.9,110.9,32,0.0,0,0.0,446.0,-84.4,4,3,3,1.1,14,240.2,0,0,1,1,1,0,1
SUB00043,ACC473514,27607737006,9352485573082,Prepaid Basic,Month-to-Month,NB-IoT,Active,,Credit Card,KwaZulu-Natal,Tablet,BTS_JHB_001,45,2025-08-17,2024-04-16T01:00:00,2024-04-17T09:42:00,34,4,785.59,4262.0,850.9,384.2,27,74.6,1,29.06,226.0,-93.2,0,0,9,4.6,7,0.0,0,0,0,0,0,0,0
